Category;Family;StyleName;Slope
slab serif;CamingoSlab™;CamingoSlab Pro ExtraBold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro ExtraBold;90.0
slab serif;CamingoSlab™;CamingoSlab Pro ExtraLight Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro ExtraLight;90.0
slab serif;CamingoSlab™;CamingoSlab Pro Light Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro Light;90.0
slab serif;CamingoSlab™;CamingoSlab Pro Regular Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro Regular;90.0
slab serif;CamingoSlab™;CamingoSlab Pro SemiBold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Pro SemiBold;90.0
slab serif;CamingoSlab™;CamingoSlab Regular Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab Regular;90.0
slab serif;CamingoSlab™;CamingoSlab SemiBold Italic;100.99999904632568
slab serif;CamingoSlab™;CamingoSlab SemiBold;90.0
slab serif;Carnival;Carnival Regular;90.0
slab serif;Carollo Playscript;Carollo Playscript Black Italic;102.0
slab serif;Carollo Playscript;Carollo Playscript Black;90.0
slab serif;Carollo Playscript;Carollo Playscript Bold Italic;100.99999904632568
slab serif;Carollo Playscript;Carollo Playscript Bold;90.0
slab serif;Carollo Playscript;Carollo Playscript Light Italic;99.99999904632568
slab serif;Carollo Playscript;Carollo Playscript Light;90.0
slab serif;Carollo Playscript;Carollo Playscript Medium Italic;99.99999904632568
slab serif;Carollo Playscript;Carollo Playscript Medium;90.0
slab serif;Carollo Playscript;Carollo Playscript Regular Italic;99.99999904632568
slab serif;Carollo Playscript;Carollo Playscript Regular;90.0
slab serif;Cassia;Cassia Bold Italic;102.0
slab serif;Cassia;Cassia Bold;90.0
slab serif;Cassia;Cassia Cassia;90.0
slab serif;Cassia;Cassia ExtraLight Italic;102.0
slab serif;Cassia;Cassia ExtraLight;90.0
slab serif;Cassia;Cassia Italic;102.99999904632568
slab serif;Cassia;Cassia Light Italic;102.0
slab serif;Cassia;Cassia Light;90.0
slab serif;Cassia;Cassia Medium Italic;102.0
slab serif;Cassia;Cassia Medium;90.0
slab serif;Cayuse;Cayuse;90.0
slab serif;Certa Serif;Certa Serif Black Italic;97.99999952316284
slab serif;Certa Serif;Certa Serif Black;90.0
slab serif;Certa Serif;Certa Serif Bold Italic;180.0
slab serif;Certa Serif;Certa Serif Bold;90.0
slab serif;Certa Serif;Certa Serif Extra Bold Italic;97.99999952316284
slab serif;Certa Serif;Certa Serif Extra Bold;90.0
slab serif;Certa Serif;Certa Serif Extra Light Italic;97.99999952316284
slab serif;Certa Serif;Certa Serif Extra Light;90.0
slab serif;Certa Serif;Certa Serif Italic;97.99999952316284
slab serif;Certa Serif;Certa Serif Light Italic;97.99999952316284
slab serif;Certa Serif;Certa Serif Light;90.0
